load trained model
  + Number of params: 9.34M
0 optim: 1e-05
epoch 000 batch 000, dist_emloss:0.39094460010528564,intensity_loss:0.4198598563671112, rgb_loss:0.10612126439809799, ambient_loss:0.00026738326414488256
saving the latest model
epoch 000 batch 010, dist_emloss:0.35146769881248474,intensity_loss:0.40891391038894653, rgb_loss:0.06583784520626068, ambient_loss:0.0006069426890462637
epoch 000 batch 020, dist_emloss:0.446712464094162,intensity_loss:0.13620291650295258, rgb_loss:0.1698647141456604, ambient_loss:0.0003119662869721651
epoch 000 batch 030, dist_emloss:0.3639412820339203,intensity_loss:0.4926234185695648, rgb_loss:0.10951857268810272, ambient_loss:0.00023616591352038085
epoch 000 batch 040, dist_emloss:0.6937176585197449,intensity_loss:0.18977414071559906, rgb_loss:0.25033101439476013, ambient_loss:0.0001623264979571104
epoch 000 batch 050, dist_emloss:0.288474440574646,intensity_loss:0.7275817394256592, rgb_loss:0.07663712650537491, ambient_loss:0.00041328114457428455
epoch 000 batch 060, dist_emloss:0.32729965448379517,intensity_loss:1.4471615552902222, rgb_loss:0.04554956033825874, ambient_loss:0.0008066770969890058
epoch 000 batch 070, dist_emloss:0.34854739904403687,intensity_loss:0.38214340806007385, rgb_loss:0.044724177569150925, ambient_loss:0.00021749327424913645
epoch 000 batch 080, dist_emloss:0.4553947448730469,intensity_loss:0.18100014328956604, rgb_loss:0.07020751386880875, ambient_loss:0.00027774745831266046
epoch 000 batch 090, dist_emloss:0.34696370363235474,intensity_loss:0.2701404094696045, rgb_loss:0.0660969614982605, ambient_loss:0.00045984721509739757
epoch 000 batch 100, dist_emloss:0.4971795678138733,intensity_loss:1.319898247718811, rgb_loss:0.08618150651454926, ambient_loss:0.00016117279301397502
epoch 000 batch 110, dist_emloss:0.35419216752052307,intensity_loss:0.20444273948669434, rgb_loss:0.16975224018096924, ambient_loss:0.0006718439981341362
epoch 000 batch 120, dist_emloss:0.48897892236709595,intensity_loss:0.7872310876846313, rgb_loss:0.11438543349504471, ambient_loss:0.00014276830188464373
epoch 000 batch 130, dist_emloss:0.351877361536026,intensity_loss:0.43355971574783325, rgb_loss:0.10230954736471176, ambient_loss:0.00023208349011838436
