  + Number of params: 9.34M
0 optim: 1e-05
epoch 000 batch 000, dist_emloss:17.52769660949707, dist_l2loss:43.819244384765625, intensity_loss:1.052880883216858, rgb_loss:30.761354446411133, ambient_loss:0.10101097822189331
saving the latest model
epoch 000 batch 010, dist_emloss:9.208919525146484, dist_l2loss:23.02229881286621, intensity_loss:0.6815225481987, rgb_loss:3.509768009185791, ambient_loss:0.015360957011580467
epoch 000 batch 020, dist_emloss:7.152607440948486, dist_l2loss:17.881515502929688, intensity_loss:0.1866595298051834, rgb_loss:2.2307560443878174, ambient_loss:0.021349173039197922
epoch 000 batch 030, dist_emloss:7.273868560791016, dist_l2loss:18.18466567993164, intensity_loss:1.357766032218933, rgb_loss:2.627709150314331, ambient_loss:0.017824064940214157
epoch 000 batch 040, dist_emloss:7.472333908081055, dist_l2loss:18.68082618713379, intensity_loss:0.16495469212532043, rgb_loss:3.4783785343170166, ambient_loss:0.025324806571006775
epoch 000 batch 050, dist_emloss:6.1096510887146, dist_l2loss:15.274120330810547, intensity_loss:0.08236352354288101, rgb_loss:2.498178243637085, ambient_loss:0.019225329160690308
epoch 000 batch 060, dist_emloss:6.041280746459961, dist_l2loss:15.103203773498535, intensity_loss:2.2684009075164795, rgb_loss:2.2331182956695557, ambient_loss:0.013736272230744362
epoch 000 batch 070, dist_emloss:6.7167439460754395, dist_l2loss:16.79186248779297, intensity_loss:0.1105908527970314, rgb_loss:4.587464809417725, ambient_loss:0.013984490185976028
epoch 000 batch 080, dist_emloss:6.162520408630371, dist_l2loss:15.406301498413086, intensity_loss:11.79005241394043, rgb_loss:2.0509183406829834, ambient_loss:0.021166127175092697
epoch 000 batch 090, dist_emloss:6.450633525848389, dist_l2loss:16.126585006713867, intensity_loss:0.2756493091583252, rgb_loss:1.4990503787994385, ambient_loss:0.013595907017588615
epoch 000 batch 100, dist_emloss:6.934361934661865, dist_l2loss:17.335899353027344, intensity_loss:0.05508085712790489, rgb_loss:1.7158514261245728, ambient_loss:0.010495088994503021
epoch 000 batch 110, dist_emloss:5.120408535003662, dist_l2loss:12.801023483276367, intensity_loss:1.3824666738510132, rgb_loss:1.7176296710968018, ambient_loss:0.014640793204307556
epoch 000 batch 120, dist_emloss:6.394827842712402, dist_l2loss:15.987071990966797, intensity_loss:0.4775121808052063, rgb_loss:1.8033686876296997, ambient_loss:0.01031620241701603
epoch 000 batch 130, dist_emloss:4.9638214111328125, dist_l2loss:12.409552574157715, intensity_loss:0.02695455215871334, rgb_loss:1.4582734107971191, ambient_loss:0.010207053273916245
epoch 000 batch 140, dist_emloss:4.269391059875488, dist_l2loss:10.673480033874512, intensity_loss:1.477375864982605, rgb_loss:1.9679509401321411, ambient_loss:0.016639987006783485
epoch 000 batch 150, dist_emloss:5.026535987854004, dist_l2loss:12.566341400146484, intensity_loss:0.1186961755156517, rgb_loss:2.641389846801758, ambient_loss:0.007676389999687672
epoch 000 batch 160, dist_emloss:4.30947732925415, dist_l2loss:10.773694038391113, intensity_loss:0.44084104895591736, rgb_loss:1.859370231628418, ambient_loss:0.013573484495282173
