  + Number of params: 9.11M
0 optim: 5e-05
epoch 000 batch 000, dist_emloss:143.60452270507812, dist_l2loss:179.50564575195312, intensity_loss:0.5396221876144409, rgb_loss:66.57621002197266, ambient_loss:0.09517678618431091
saving the latest model
epoch 000 batch 010, dist_emloss:67.85990142822266, dist_l2loss:84.82488250732422, intensity_loss:1.1857026815414429, rgb_loss:9.603656768798828, ambient_loss:0.05590939149260521
epoch 000 batch 020, dist_emloss:55.42045211791992, dist_l2loss:69.27557373046875, intensity_loss:0.17204006016254425, rgb_loss:5.69343376159668, ambient_loss:0.08284607529640198
epoch 000 batch 030, dist_emloss:40.00675964355469, dist_l2loss:50.008453369140625, intensity_loss:0.880720317363739, rgb_loss:6.090932846069336, ambient_loss:0.051811110228300095
epoch 000 batch 040, dist_emloss:30.21544647216797, dist_l2loss:37.76930618286133, intensity_loss:0.46805402636528015, rgb_loss:5.05504035949707, ambient_loss:0.049188703298568726
epoch 000 batch 050, dist_emloss:28.882797241210938, dist_l2loss:36.10349655151367, intensity_loss:0.2526454031467438, rgb_loss:5.038007736206055, ambient_loss:0.039771802723407745
epoch 000 batch 060, dist_emloss:20.834075927734375, dist_l2loss:26.042593002319336, intensity_loss:0.4160884916782379, rgb_loss:4.494661808013916, ambient_loss:0.036319538950920105
epoch 000 batch 070, dist_emloss:18.86191177368164, dist_l2loss:23.577388763427734, intensity_loss:1.092525839805603, rgb_loss:3.6356420516967773, ambient_loss:0.03582293912768364
epoch 000 batch 080, dist_emloss:17.871416091918945, dist_l2loss:22.33926010131836, intensity_loss:0.28365573287010193, rgb_loss:2.6188080310821533, ambient_loss:0.030212685465812683
epoch 000 batch 090, dist_emloss:12.934446334838867, dist_l2loss:16.168062210083008, intensity_loss:0.8330909609794617, rgb_loss:2.0223045349121094, ambient_loss:0.025932472199201584
epoch 000 batch 100, dist_emloss:11.206015586853027, dist_l2loss:14.007526397705078, intensity_loss:0.15792642533779144, rgb_loss:2.88834285736084, ambient_loss:0.019753113389015198
epoch 000 batch 110, dist_emloss:9.863527297973633, dist_l2loss:12.329412460327148, intensity_loss:9.026055335998535, rgb_loss:2.1914124488830566, ambient_loss:0.014418181031942368
epoch 000 batch 120, dist_emloss:8.304534912109375, dist_l2loss:10.380668640136719, intensity_loss:1.348695158958435, rgb_loss:2.483891248703003, ambient_loss:0.010495832189917564
epoch 000 batch 130, dist_emloss:6.229150772094727, dist_l2loss:7.78643798828125, intensity_loss:0.08154268562793732, rgb_loss:1.5167920589447021, ambient_loss:0.01199259515851736
epoch 000 batch 140, dist_emloss:5.356969356536865, dist_l2loss:6.696214199066162, intensity_loss:0.6620593667030334, rgb_loss:1.1370025873184204, ambient_loss:0.006355052813887596
epoch 000 batch 150, dist_emloss:4.764359474182129, dist_l2loss:5.955450057983398, intensity_loss:0.2695864737033844, rgb_loss:1.1872080564498901, ambient_loss:0.006142358295619488
epoch 000 batch 160, dist_emloss:3.8891868591308594, dist_l2loss:4.861485958099365, intensity_loss:0.407405823469162, rgb_loss:1.2008699178695679, ambient_loss:0.004685756750404835
epoch 000 batch 170, dist_emloss:5.130129814147949, dist_l2loss:6.412665367126465, intensity_loss:0.9815698862075806, rgb_loss:0.9612067341804504, ambient_loss:0.005652009509503841
epoch 000 batch 180, dist_emloss:3.374138355255127, dist_l2loss:4.217674732208252, intensity_loss:0.40453702211380005, rgb_loss:0.8909817934036255, ambient_loss:0.0059932926669716835
epoch 000 batch 190, dist_emloss:4.414337635040283, dist_l2loss:5.517923355102539, intensity_loss:11.44613265991211, rgb_loss:2.0500547885894775, ambient_loss:0.0035936827771365643
epoch 000 batch 200, dist_emloss:4.193854808807373, dist_l2loss:5.242317199707031, intensity_loss:0.583240807056427, rgb_loss:1.272594690322876, ambient_loss:0.002506817691028118
epoch 000 batch 210, dist_emloss:3.4232378005981445, dist_l2loss:4.279051303863525, intensity_loss:2.151597261428833, rgb_loss:1.1646710634231567, ambient_loss:0.0038115736097097397
epoch 000 batch 220, dist_emloss:4.041406631469727, dist_l2loss:5.051762104034424, intensity_loss:0.39498957991600037, rgb_loss:1.1618671417236328, ambient_loss:0.0023096015211194754
epoch 000 batch 230, dist_emloss:3.636549711227417, dist_l2loss:4.545688629150391, intensity_loss:0.07939962297677994, rgb_loss:1.0406697988510132, ambient_loss:0.0026466730050742626
epoch 000 batch 240, dist_emloss:3.7365856170654297, dist_l2loss:4.670733451843262, intensity_loss:0.1483978033065796, rgb_loss:2.042149305343628, ambient_loss:0.0024190451949834824
epoch 000 batch 250, dist_emloss:4.482509613037109, dist_l2loss:5.6031413078308105, intensity_loss:0.0994783267378807, rgb_loss:0.9318429231643677, ambient_loss:0.00322416122071445
epoch 000 batch 260, dist_emloss:3.018031358718872, dist_l2loss:3.77254056930542, intensity_loss:0.24707384407520294, rgb_loss:0.764883279800415, ambient_loss:0.0026671970263123512
epoch 000 batch 270, dist_emloss:2.647315502166748, dist_l2loss:3.3091375827789307, intensity_loss:0.33840450644493103, rgb_loss:0.6752544641494751, ambient_loss:0.001860831631347537
epoch 000 batch 280, dist_emloss:3.210479974746704, dist_l2loss:4.0131025314331055, intensity_loss:0.437235563993454, rgb_loss:1.2840017080307007, ambient_loss:0.001970898360013962
epoch 000 batch 290, dist_emloss:2.487088918685913, dist_l2loss:3.1088626384735107, intensity_loss:0.4088514745235443, rgb_loss:1.4844532012939453, ambient_loss:0.0015283115208148956
epoch 000 batch 300, dist_emloss:4.525833606719971, dist_l2loss:5.657293796539307, intensity_loss:0.3403225839138031, rgb_loss:1.2217285633087158, ambient_loss:0.0018125188071280718
epoch 000 batch 310, dist_emloss:3.21380352973938, dist_l2loss:4.0172553062438965, intensity_loss:0.1582663357257843, rgb_loss:0.8395577669143677, ambient_loss:0.0013365991180762649
epoch 000 batch 320, dist_emloss:2.275536298751831, dist_l2loss:2.844417095184326, intensity_loss:1.0912240743637085, rgb_loss:0.6916847825050354, ambient_loss:0.0017148725455626845
epoch 000 batch 330, dist_emloss:3.013146162033081, dist_l2loss:3.7664337158203125, intensity_loss:0.48934730887413025, rgb_loss:1.0456074476242065, ambient_loss:0.000852382043376565
epoch 000 batch 340, dist_emloss:3.441479444503784, dist_l2loss:4.30185079574585, intensity_loss:0.07570025324821472, rgb_loss:0.4094489812850952, ambient_loss:0.0012585180811583996
epoch 000 batch 350, dist_emloss:1.8643778562545776, dist_l2loss:2.330475330352783, intensity_loss:1.1062252521514893, rgb_loss:1.0901728868484497, ambient_loss:0.0009622929501347244
epoch 000 batch 360, dist_emloss:2.7914857864379883, dist_l2loss:3.489358425140381, intensity_loss:0.243824765086174, rgb_loss:1.0266647338867188, ambient_loss:0.0013020285405218601
epoch 000 batch 370, dist_emloss:2.6802597045898438, dist_l2loss:3.350325584411621, intensity_loss:0.5357211828231812, rgb_loss:1.219205617904663, ambient_loss:0.0009893020614981651
epoch 000 batch 380, dist_emloss:2.9473278522491455, dist_l2loss:3.6841611862182617, intensity_loss:0.47059279680252075, rgb_loss:0.650722324848175, ambient_loss:0.001169397495687008
epoch 000 batch 390, dist_emloss:2.5694379806518555, dist_l2loss:3.2117977142333984, intensity_loss:0.11768132448196411, rgb_loss:0.7469135522842407, ambient_loss:0.0014255295973271132
epoch 000 batch 400, dist_emloss:2.466139316558838, dist_l2loss:3.0826754570007324, intensity_loss:2.315532922744751, rgb_loss:0.8335493803024292, ambient_loss:0.001500080106779933
epoch 000 batch 410, dist_emloss:2.906463861465454, dist_l2loss:3.633077621459961, intensity_loss:0.64201420545578, rgb_loss:1.1417618989944458, ambient_loss:0.0016219948884099722
epoch 000 batch 420, dist_emloss:2.615018844604492, dist_l2loss:3.2687742710113525, intensity_loss:0.09826787561178207, rgb_loss:1.3407725095748901, ambient_loss:0.000887882080860436
epoch 000 batch 430, dist_emloss:2.879335403442383, dist_l2loss:3.599170207977295, intensity_loss:0.22897250950336456, rgb_loss:1.1201955080032349, ambient_loss:0.0010571298189461231
epoch 000 batch 440, dist_emloss:2.3897275924682617, dist_l2loss:2.9871609210968018, intensity_loss:0.3094651699066162, rgb_loss:0.9486773014068604, ambient_loss:0.0007865695515647531
epoch 000 batch 450, dist_emloss:3.1734697818756104, dist_l2loss:3.9668405055999756, intensity_loss:3.2186875343322754, rgb_loss:0.8668252229690552, ambient_loss:0.0027085605543106794
